tweet,aspect,sentiment,idioma
"Comida normal, nada especial genialll",comida,negative,es
Tiempos de espera razonables,colas,neutral,es
Desastre en la organización,organización,positive,es
Volumen fatal,sonido,negative,es
Audio brutal,sonido,negative,es
Organización como cualquier festival no convenciooo,organización,positive,es
Muy mal organizado todo,organización,neutral,es
Carísima y mala la comida,comida,positive,es
"Demasiada gente, agobiante",ambiente,neutral,es
Tiempos de espera razonables,colas,positive,es
Bad Gyal lo dieron todo,artistas,neutral,es
Lola Índigo hizo vibrar al público porque fue brutal,artistas,neutral,es
"Demasiada gente, agobiante",ambiente,neutral,es
Ambiente cargado y mal rollo porque fue brutal,ambiente,negative,es
the tyets lo dieron todo toa,artistas,negative,es
Me encantó la comida del festival mientras fue brutal,comida,positive,es
The Tyets decepcionante,artistas,neutral,es
El sonido fue perfecto,sonido,positive,es
esperamos muchísimo para entrar,colas,neutral,es
Desastre en la organización,organización,negative,es
Colas interminables un desastre,colas,positive,es
"Comida normal, nada especial cuando fue brutal",comida,negative,es
Todo muy bien organizado,organización,neutral,es
Tiempos de espera razonables,colas,neutral,es
Bad Gyal hizo vibrar al público xq,artistas,negative,es
No había casi colas,colas,negative,es
"Comida normal, nada especial",comida,positive,es
Tiempos de espera razonables 😎,colas,neutral,es
Ambiente regular como siempre,ambiente,neutral,es
Muy mal organizado todo,organización,positive,es
Stay Homas decepcionante cuando fue brutal 🙌,artistas,positive,es
Sonido distorsionado y muy alto porque fue brutal,sonido,positive,es
todo muy bien organizado porque fue brutal,organización,positive,es
Rigoberta Bandini decepcionante no convenciooo,artistas,neutral,es
Buhos estuvo genial,artistas,neutral,es
rosalía decepcionante porque fue brutal 😋,artistas,neutral,es
Esperamos muchísimo para entrar,colas,negative,es
Muy mal organizado todo 🎶,organización,positive,es
Rigoberta Bandini lo dieron todo,artistas,negative,es
ambiente regular como siempre,ambiente,neutral,es
Me encantó la comida del festival,comida,neutral,es
No había casi colas,colas,neutral,es
Colas interminables un desastre,colas,positive,es
Desastre en la organización,organización,positive,es
No había casi colas,colas,positive,es
Esperamos muchísimo para entrar,colas,negative,es
Muy buen ambiente super biennn 😎,ambiente,positive,es
todo muy bien organizado,organización,positive,es
no había casi colas 🔥,colas,negative,es
Quevedo lo dieron todo no convenciooo,artistas,neutral,es
Muy buen ambiente aunque fue brutal,ambiente,negative,es
la comida estuvo increíble,comida,positive,es
Aitana estuvo genial mientras fue brutal,artistas,positive,es
Desastre en la organización,organización,negative,es
Ambiente regular como siempre,ambiente,negative,es
No había casi colas,colas,neutral,es
Volumen fatal,sonido,negative,es
desastre en la organización bno,organización,neutral,es
"Demasiada gente, agobiante",ambiente,positive,es
stay homas estuvo genial ya que fue brutal,artistas,neutral,es
Sonido distorsionado y muy alto lo dio todooo,sonido,positive,es
Carísima y mala la comida,comida,negative,es
no había casi colas,colas,positive,es
Ambiente cargado y mal rollo,ambiente,neutral,es
bad gyal lo dieron todo,artistas,negative,es
ambiente regular como siempre,ambiente,negative,es
Colas interminables un desastre,colas,negative,es
La comida estuvo increíble,comida,neutral,es
Quevedo estuvo genial,artistas,positive,es
Tiempos de espera razonables,colas,negative,es
Colas interminables un desastre,colas,positive,es
Colas interminables un desastre,colas,negative,es
Organización como cualquier festival,organización,negative,es
el sonido fue perfecto flipanteee,sonido,negative,es
"Demasiada gente, agobiante vibraaa",ambiente,positive,es
The Tyets estuvo genial,artistas,negative,es
El sonido fue perfecto,sonido,negative,es
"Comida normal, nada especial aunque fue brutal 😍",comida,neutral,es
stay homas decepcionante,artistas,negative,es
Todo muy bien organizado 🔥,organización,negative,es
colas interminables un desastre,colas,neutral,es
