tweet_id,tweet,clause,topic,sentiment,sentiment_score,manual_sentiment
86,"@cruillabcn @kylieminogue @bastilledan @garbage @natosywaor @ayaxyprok @gangofyouths @lildamiboi @amabledj @estrelladammcat muy bien. contando q 2 últimos años me hicieron regalito trayendo a los fabulosos cadillac y a seasick steve, este año unos stray cats o incubus tocando uno de los primeros discos...pero q todo bien...",q todo bien,unknown,neutral,0.518,positive
87,@cruillabcn cancelen el festival antes que sea demasiado tarde de nuevo!!!!! verguenza con este nuevo rebrote!!! sbemos que las medidas a la segunda cerveza no existiràn mas!!! @sanidadgob @guardiacivil @eu_commission @sanchezcastejon @saludpublicaes,cancelen el festival antes que sea demasiado tarde de nuevo,unknown,negative,0.886,negative
87,@cruillabcn cancelen el festival antes que sea demasiado tarde de nuevo!!!!! verguenza con este nuevo rebrote!!! sbemos que las medidas a la segunda cerveza no existiràn mas!!! @sanidadgob @guardiacivil @eu_commission @sanchezcastejon @saludpublicaes,verguenza con este nuevo rebrote,sonido,negative,0.964,negative
87,@cruillabcn cancelen el festival antes que sea demasiado tarde de nuevo!!!!! verguenza con este nuevo rebrote!!! sbemos que las medidas a la segunda cerveza no existiràn mas!!! @sanidadgob @guardiacivil @eu_commission @sanchezcastejon @saludpublicaes,sbemos que las medidas a la segunda cerveza no existiràn mas,unknown,neutral,0.527,neutral
88,"""nosaltres la portem. hem vist que molta gent no ha complert amb el que es demana"". l’ús de la mascareta entre els assistents al cruïlla va ser difícil de controlar, a mesura que va avançar la primera nit del festival",""" nosaltres la portem",transporte,neutral,0.555,neutral
88,"""nosaltres la portem. hem vist que molta gent no ha complert amb el que es demana"". l’ús de la mascareta entre els assistents al cruïlla va ser difícil de controlar, a mesura que va avançar la primera nit del festival","hem vist que molta gent no ha complert amb el que es demana """,experiencia,negative,0.705,negative
88,"""nosaltres la portem. hem vist que molta gent no ha complert amb el que es demana"". l’ús de la mascareta entre els assistents al cruïlla va ser difícil de controlar, a mesura que va avançar la primera nit del festival","l’ús de la mascareta entre els assistents al cruïlla va ser difícil de controlar , a mesura que va avançar la primera nit del festival",unknown,negative,0.877,negative
90,"@cruillabcn a seasick steve, sin ninguna duda.","a seasick steve , sin ninguna duda",unknown,neutral,0.513,neutral
91,"@cruillabcn us fem costat, però si us plau, no doneu missatges contradictoris (xarxes vs. tn), transparència i que sàpiguem com estan les coses, gràcies","us fem costat , però",precios,negative,0.374,neutral
91,"@cruillabcn us fem costat, però si us plau, no doneu missatges contradictoris (xarxes vs. tn), transparència i que sàpiguem com estan les coses, gràcies","us plau , no doneu missatges contradictoris ( xarxes vs",unknown,negative,0.682,negative
91,"@cruillabcn us fem costat, però si us plau, no doneu missatges contradictoris (xarxes vs. tn), transparència i que sàpiguem com estan les coses, gràcies","tn ) , transparència i que sàpiguem com estan les coses , gràcies",información,neutral,0.413,neutral
92,"¡esta tarde nos vemos, barcelona! @cruillabcn","¡ esta tarde nos vemos , barcelona",unknown,neutral,0.622,neutral
93,"críticas a laura borràs por ir sin mascarilla a un festival de música en plena quinta ola la presidenta del parlament acudió anoche al cruïlla, un evento con más de 15.000 personas cerca del fórum en la capital catalana","críticas a laura borràs por ir sin mascarilla a un festival de música en plena quinta ola la presidenta del parlament acudió anoche al cruïlla , un evento con más de 15",unknown,negative,0.892,negative
93,"críticas a laura borràs por ir sin mascarilla a un festival de música en plena quinta ola la presidenta del parlament acudió anoche al cruïlla, un evento con más de 15.000 personas cerca del fórum en la capital catalana",000 personas cerca del fórum en la capital catalana,unknown,neutral,0.866,neutral
94,@ronbrugal_es @cruillabcn cuando se anunciará el ganador? estamos el @srvillalba_ y una servidora así:,se anunciará el ganador,unknown,neutral,0.692,neutral
94,@ronbrugal_es @cruillabcn cuando se anunciará el ganador? estamos el @srvillalba_ y una servidora así:,estamos el   y una servidora así :,unknown,neutral,0.674,neutral
95,@cruillabcn no ens veig @avecespiensoo,no ens veig,unknown,negative,0.769,neutral
96,@alexbystand @avrillavigne @cruillabcn yo ya las tengo!,yo ya las tengo,unknown,neutral,0.788,neutral
97,"@annnetahappy sí el fan en una cruïlla, no gaire.","sí el fan en una cruïlla , no gaire",unknown,negative,0.582,neutral
99,@cruillabcn @estrelladammcat a partir de quin hora estaran?,a partir de quin hora estaran,unknown,neutral,0.87,neutral
100,"@tanxugueiras @cruillabcn hai uns meses dicíades que vos gustaría moitísimo levar a vosa música a festivais onde nunca houbera música tradicional. hoxe estades cumprindo ese obxectivo e enorgullecendo a toda galicia, moitísimas gracias!!!!!!",hai uns meses dicíades que vos gustaría moitísimo levar a vosa música a festivais onde nunca houbera música tradicional,unknown,neutral,0.47,positive
100,"@tanxugueiras @cruillabcn hai uns meses dicíades que vos gustaría moitísimo levar a vosa música a festivais onde nunca houbera música tradicional. hoxe estades cumprindo ese obxectivo e enorgullecendo a toda galicia, moitísimas gracias!!!!!!","hoxe estades cumprindo ese obxectivo e enorgullecendo a toda galicia , moitísimas gracias",precios,positive,0.881,positive
101,@moratbanda @cruillabcn a darlo todo hoy!! como siempre!,a darlo todo hoy,unknown,positive,0.514,positive
102,@cruillabcn @juanluisguerra @estrelladammcat una meravella escoltar-lo i veure'l en directe. no ho oblidarem!,una meravella escoltar-lo i veure'l en directe,unknown,positive,0.93,positive
102,@cruillabcn @juanluisguerra @estrelladammcat una meravella escoltar-lo i veure'l en directe. no ho oblidarem!,no ho oblidarem,unknown,negative,0.56,positive
103,"@st_vincent @cruillabcn i've already got the tickets, see you again this year!","i've already got the tickets , see you again this year",unknown,positive,0.593,positive
104,@jamiroquaihq @cruillabcn @estrelladammcat glad youre feeling better jay,glad youre feeling better jay,unknown,positive,0.679,positive
106,@cruillabcn @soyrayden es posible que me haya emocionado como hacía tiempo que no me pasaba? dons sip!,es posible que me haya emocionado como hacía tiempo que no me pasaba,unknown,positive,0.425,positive
107,@cruillabcn @alanis @30secondstomars @estrelladammcat @seetickets_es gràcies per portar a la alanis!!! per fi la podré veure,gràcies per portar a la alanis,unknown,positive,0.695,positive
107,@cruillabcn @alanis @30secondstomars @estrelladammcat @seetickets_es gràcies per portar a la alanis!!! per fi la podré veure,per fi la podré veure,unknown,positive,0.722,positive
108,@cruillabcn gracias por contar con alba reche el año q viene ojalá pueda estar tb,gracias por contar con alba reche el año q viene ojalá pueda estar tb,unknown,positive,0.842,positive
109,"@_nica_ @cruillabcn disfruta por mi, supongo que ya lo has visto pero lo amarás más","disfruta por mi , supongo que ya lo has visto pero",unknown,neutral,0.543,neutral
109,"@_nica_ @cruillabcn disfruta por mi, supongo que ya lo has visto pero lo amarás más",lo amarás más,unknown,positive,0.765,neutral
110,"@cruillabcn @zooposse no había otro de un estilo más similar?? es que... vaya cambio! el caso es pasarlo bien y @zooposse no están nada mal, pero nada a que ver",no había otro de un estilo más similar,personal,neutral,0.616,neutral
110,"@cruillabcn @zooposse no había otro de un estilo más similar?? es que... vaya cambio! el caso es pasarlo bien y @zooposse no están nada mal, pero nada a que ver","el caso es pasarlo bien y   no están nada mal , pero",unknown,neutral,0.496,neutral
110,"@cruillabcn @zooposse no había otro de un estilo más similar?? es que... vaya cambio! el caso es pasarlo bien y @zooposse no están nada mal, pero nada a que ver",nada a que ver,unknown,neutral,0.49,neutral
111,@st_vincent @cruillabcn vení a argentina por favor.,vení a argentina por favor,unknown,neutral,0.415,neutral
112,@cruillabcn el que he viscut jo ha sigut despertar-me a les 4 de la nit perquè el chumba-chamba se sentia a badalona com si el tinguessim al carrer del costat. ?,el que he viscut jo ha sigut despertar-me a les 4 de la nit perquè,unknown,negative,0.491,neutral
112,@cruillabcn el que he viscut jo ha sigut despertar-me a les 4 de la nit perquè el chumba-chamba se sentia a badalona com si el tinguessim al carrer del costat. ?,el chumba-chamba se sentia a badalona com si,unknown,negative,0.47,neutral
112,@cruillabcn el que he viscut jo ha sigut despertar-me a les 4 de la nit perquè el chumba-chamba se sentia a badalona com si el tinguessim al carrer del costat. ?,el tinguessim al carrer del costat,unknown,negative,0.487,neutral
114,@elite_taxibcn @cruillabcn y esto no se puede denunciar?,y esto no se puede denunciar,unknown,negative,0.766,neutral
115,@estrelladammcat @jamiecullum @cruillabcn la meva cançó: devil may care i vull anar amb @pipoignasi,la meva cançó : devil may care i vull anar amb,unknown,neutral,0.555,neutral
116,@cruillabcn @estrelladammcat @vueling @vallformosa @johnniewalker_ @placeboworld @offspring @sigurros @alt_j @franz_ferdinand @leiva_oficial @antonia_font @rubenblades viva suecia y cala vento franz ferdinand y carolina durante pero sigur ros y alt j bien despejados no sé yo lo bien pensado que están estos horarios.,viva suecia y cala vento franz ferdinand y carolina durante pero,unknown,neutral,0.446,neutral
116,@cruillabcn @estrelladammcat @vueling @vallformosa @johnniewalker_ @placeboworld @offspring @sigurros @alt_j @franz_ferdinand @leiva_oficial @antonia_font @rubenblades viva suecia y cala vento franz ferdinand y carolina durante pero sigur ros y alt j bien despejados no sé yo lo bien pensado que están estos horarios.,sigur ros y alt j bien despejados no sé yo lo bien pensado que están estos horarios,unknown,negative,0.863,negative
119,@cruillabcn @estrelladammcat ens agrada molt!!!,ens agrada molt,unknown,positive,0.837,positive
